name,description,genres
8 миля,"Детройт, 1995 год. Блестящая и многообещающая политика индустриального развития города терпит крах и приводит к хаосу и неразберихе, что в результате выливается в один из самых серьезных в американской истории конфликтов между белым и цветным населением. Люди, мирно жившие рядом, оказались по разные стороны баррикад.

Шоссе «8 Миля», отделяющее Детройт от пригорода, становится разделительной полосой между черными и белыми. Происходящее в городе находит свое отражение в музыке. В бедных кварталах пригорода, где главная цель — выживание, для многих обитателей хип-хоп становится эмоциональной отдушиной, средством, помогающим вырваться из жесткой повседневной реальности.","драма, музыка"
Таксист,"Тусклый свет слепых фонарей, скелеты фабричных труб, задыхающихся в собственном дыму. Вавилонские башни небоскребов, все это — ад Нового времени, Нью-Йорк.

Ветеран вьетнамской войны Трэвис Бикл ведет свое одинокое такси по ночным улицам бесконечного города, и перед ним разворачивается мрачная панорама человеческих грехов. Как ветхозаветный пророк, он надеется, что однажды небеса пошлют на землю спасительный дождь, который очистит Нью-Йорк от вековой грязи.

А когда умирает надежда, остается только ненависть. Огненный ливень обрушится на головы грешников. Таксист позаботится об этом.","триллер, драма, криминал"
Вечера на хуторе близ Диканьки,"Веселая история про то, как в рождественскую ночь в украинском селе всех попутал бес и как могучему кузнецу Вакуле удалось одолеть нечистую силу и добыть для своей невесты царские черевички. Экранизация повести Н. В. Гоголя «Ночь перед Рождеством».","фэнтези, мелодрама, комедия"
Глубоководный горизонт,"Отправляясь на очередную вахту и прощаясь с семьями, они не подозревали, что могут не вернуться. История о страшной аварии на нефтяной платформе «Глубоководный горизонт», которая произошла в 2010 году в Мексиканском заливе. Хроника беспримерного мужества и отваги перед лицом одной из самых страшных техногенных катастроф в мировой истории.","боевик, триллер, драма, история"
Я на перемотке!,"Максим так занят на работе, пытаясь все успеть и не подвести начальство, что не замечает самых важных вещей в своей жизни. В годовщину знакомства с любимой девушкой и после случайной ссоры с необычной таксисткой с Максимом начинают происходить совершенно необъяснимые события — ему предстоит прожить свою жизнь на перемотке.","комедия, фантастика"
Дюнкерк,"Фильм расскажет историю чудесного спасения более трехсот тысяч солдат в ходе Дюнкеркской операции, имевшей место в начале Второй мировой войны. События начинаются с окружения сотен тысяч британских и союзных войск силами противника. Пойманные в ловушку на пляже, и находясь спиной к морю, они сталкиваются лицом к лицу с неразрешимой ситуацией, тем временем как тиски противника сжимаются все сильнее и сильнее.","военный, драма, история"
Рыцарь дня,"Случайная встреча в аэропорту одинокой женщины Джун Хэвенс и обаятельного агента Миллера приводит к тому, что им приходится вместе колесить по всему свету, спасаясь от наемных убийц и пытаясь уберечь от коварных злодеев мощную батарею, которая является уникальным источником энергии.

Попадая в бесчисленные передряги и постоянно находясь на волоске от смерти, Джун все время мучается в догадках, кто же на самом деле ее неугомонный спутник - спаситель человечества, предатель или просто-напросто сумасшедший...","боевик, мелодрама, комедия, приключения"
Пила: Игра на выживание,"Два незнакомца просыпаются в подвале, где лежит человек с простреленной головой и пистолетом в руке. Они прикованы к стенам цепями и не помнят, как тут оказались. Голос с найденной плёнки велит одному из них выбрать — убить товарища по несчастью или дать умереть своим жене и дочери. Так начинается жестокая игра, у невольных участников которой есть всего лишь 7 часов.","ужасы, триллер"
Сумерки. Сага. Рассвет: Часть 1,"В четвертой части Белла Свон оказывается перед непростым выбором — сохранить жизнь себе или своему ребенку (наполовину вампиру, наполовину человеку). Она решает оставить малыша, но Эдвард и остальные члены семьи Каллен категорически против. 
Помощи Белле ждать не от кого, но она приходит неожиданно, от того, от кого её совсем не ждали. Вдвоем Белла и Розали пытаются сохранить жизнь малышу, даже не догадываясь, к каким ужасающим последствиям это приведет.","фэнтези, драма, мелодрама"
Рейд,"Отряд спецназовцев получает задание проникнуть в многоэтажный дом, расположенный в самом сердце трущоб Джакарты, и арестовать обосновавшегося там наркобарона, которого охраняет целая армия вооруженных до зубов головорезов. Операцию нужно провести без лишнего шума, но нелепая случайность нарушает планы служителей закона, и теперь на них объявлена охота. Перед ними — 15 этажей ада, где смертью грозит каждый неверный шаг.","боевик, криминал, триллер"
Под покровом ночи,"У Сьюзен роскошная жизнь в Лос-Анджелесе, прекрасный муж и собственная галерея. Но однажды она получает неожиданную посылку от бывшего супруга — он хотел бы встретиться, но сначала просит прочитать его новый роман. Сьюзен не подозревает, что как только она откроет рукопись, она вернется в прошлое, которое считала надежно укрытым под покровом ночи.","триллер, драма"
Тоня против всех,"Американской фигуристке Тоне Хардинг пришлось нелегко: сначала тяжелое детство с грозной матерью, потом тяжелая юность, ранний брак с проходимцем и неудачи на соревнованиях из-за заниженных судьями оценок. А потом случился скандал: во время важнейших соревнований план запугать конкурентку выходит Тоне боком.","биография, спорт, комедия, драма"
Матрица: Воскрешение,"Геймдизайнер Томас Андерсон сделал себе имя работой над трилогией игр «Матрица». Хотя окружающий мир периодически даёт сбои и обнажает свою истинную сущность, бывший Нео исправно посещает психотерапевта, принимает пилюли и практически убедил себя, что всё это — игра его воображения. Но однажды на него выходит хакерша Багз и предлагает снова следовать за белым кроликом.","фантастика, боевик"
Знакомство с родителями,"Обладатель замечательной фамилии, санитар Грэг Трахер, отправляется за город, чтобы познакомиться с родителями своей девушки Пэм. Здесь Грэг собирается торжественно просить руки возлюбленной. Но, к несчастью, Грэг — парень невезучий, и любые благие начинания в его исполнении превращаются в сущий кошмар.

Несчастный Трахер и в самом страшном сне не предполагал, какие его ждут испытания. Дело в том, что отец Пэм, Джек Бернс, — отставной сотрудник ЦРУ, устраивает приятелям дочери свою особую и жесткую проверку. Эта проверка включает в себя даже специальный тест на детекторе лжи!","мелодрама, комедия"
Гренландия,"Во всех СМИ твердят о приближающейся к Земле комете, а инженера-строителя Джона Гэррити больше волнует, как сохранить разваливающийся брак. Сегодня у них намечена вечеринка с соседями, и, отправившись в супермаркет за продуктами, Джон внезапно получает президентское сообщение, что он и его семья выбраны для спасения в секретном бункере. Поначалу он не придаёт этому значения, но вскоре ударная волна от столкновения первых частей кометы с Землёй докатывается до их тихого пригорода, а по всем каналам начинают транслировать ужасающие кадры разрушений. Сев с женой и сыном в машину под растерянными взглядами соседей, Джон спешит в аэропорт, где производится посадка получивших сообщения в грузовые самолёты.",боевик
Мрачные тени,"Барнабас Коллинз, владелец поместья Коллинвуд, богат, властен и слывет неисправимым Казановой, пока не совершает роковую ошибку, разбив сердце Анжелики Бошар. Будучи ведьмой в буквальном смысле этого слова, женщина обрекает его на судьбу худшую, чем сама смерть — обращает его в вампира и хоронит заживо. Два века спустя Барнабаса случайно освобождают из склепа, и тот оказывается в очень изменившемся мире 1972 года. Он возвращается в Коллинвуд и находит это некогда величественное здание в руинах. Жалкие потомки его семьи сохранились лишь немногим лучше родового гнезда, и у каждого из них есть свои скелеты в шкафу.","фэнтези, мелодрама, комедия"
Двенадцать друзей Оушена,"Гангстер Денни Оушен собрал свою банду профессиональных грабителей и мошенников, и теперь там появились новые лица. Они задумали совершить три ограбления в европейских столицах. Владелец казино Терри Бенедикт, которого Оушен ограбил в Лас-Вегасе, жаждет мести и пытается настигнуть банду. За ней также охотятся агенты Европола и Диннер Джекет.","триллер, криминал"
Хулиганы,"Студент факультета журналистики Мэтт Бакнер отчислен из Гарварда за преступление, которого не совершал. Его многообещающая карьера пошла коту под хвост, его будущее туманно. В поисках убежища молодой человек бежит в Лондон к своей замужней сестре Шэннон. Её муж знакомит Мэтта со своим младшим братом Питом. Сдружившись с Питом, Мэтт открывает для себя мир футбола. Здесь он находит новых друзей, новые неприятности и оказывается в компании безумных футбольных фанатов, готовых на алтарь своей страсти бросить любую жертву.","драма, криминал, военный, спорт"
Не может быть!,"Фильм включает три новеллы о негативных явлениях провинциальной жизни молодой страны Советов: тупости, пьянстве, стяжательстве, бездуховности - всем том, что и сейчас существует благополучно и повсеместно.","мелодрама, комедия"
Догвилль,"Юная Грейс, сбежав от банды гангстеров, находит спасение в маленьком городке Догвилль где-то в Скалистых горах. Местные жители – один прекраснее другого – готовы ее укрыть. А взамен им совсем ничего не надо, ну, разве что помочь по дому или присмотреть за детьми. Но постепенно милый Догвилль превращается для девушки в тюрьму.","триллер, драма, детектив"
Неудержимые 2,"Команда неудержимых возвращается! На этот раз Барни Росс со своей командой получает новое задание: достать  кейс из разбившегося самолёта где-то в Албании. Однако никто из них не подозревал, что такое простое дельце на самом деле может превратится в кровавую бойню против безжалостных террористов.","боевик, триллер, приключения"
Паркер,"Главный герой — профессиональный вор, руководствующийся собственным моральным кодексом, но способный запросто отправить на тот свет любого, кто перейдет ему дорогу.","боевик, триллер, криминал"
Чужой: Завет,"Во время обследования удаленной планеты, расположенной на другой стороне галактики, экипаж колониального корабля «Завет» обнаруживает, что то, что они изначально приняли за неизведанный рай, на самом деле - тёмный и опасный мир. Его единственный житель - синтетический андроид Дэвид, оставшийся в живых после обреченной экспедиционной миссии «Прометей».","ужасы, фантастика"
Эверест,"Эверест — великая неприступная гора, покорить вершину которой мечтают многие профессиональные альпинисты. Одна из экспедиций на ее вершину закончилась настоящей трагедией, однако этот факт не останавливает отважных альпинистов.

Опытный инструктор Роб Холл, собрав группу из лучших альпинистов, собирается совершить восхождение на самую высокую вершину планеты. Все эти люди полны мужества и отваги и они не остановятся ни перед чем, пока не поднимутся на вершину Эвереста. Но даже если эта гора покорится им, смогут ли они вернуться обратно живыми и невредимыми?","приключения, триллер, драма, биография"
Без лица,"Чтобы раскрыть подробности запланированного преступниками крупного теракта, агент ФБР Шон Арчер соглашается на сложную хирургическую операцию. Он берёт себе новое лицо, лицо террориста Кастора Троя, который находится в коме.

Однако происходит непредвиденное: Трой приходит в себя и исчезает в обличье Арчера. Жизнь Шона превращается в настоящий кошмар - ему приходится сражаться не только за свою жизнь, но и за жизнь своей жены и дочери.","боевик, триллер, криминал, фантастика"
Красный призрак,"Зима 1941 года. Выходя из окружения около Вязьмы, небольшая группа советских солдат вынуждена остановиться в заброшенной деревне. Но передышки не получается. В этом же доме решает обосноваться хорошо вооружённый немецкий отряд во главе с карателем вермахта, который ищет таинственного солдата по прозвищу Красный призрак. Он появляется из ниоткуда, в одиночку убивает захватчиков и так же загадочно исчезает.","триллер, военный, боевик"
Донни Дарко,"Донни Дарко — обычный старшеклассник, живет с родителями и двумя сестрами. Однажды он встречает человека в костюме кролика, который сообщает парню, что через 28 дней, 6 часов, 42 минуты и 12 секунд наступит конец света.","фантастика, триллер, драма, детектив"
Сестрёнка,"Сколько себя помнит Ямиль, война была всегда. Но Ямиль очень ждёт, когда она кончится - ведь тогда вернётся Отец, которого Ямиль знает только по фотографиям и письмам.

Однажды Мама уезжает в далёкий город и привозит с собой молчаливую девочку Оксану и передает наказ Отца заботиться о ней, как о родной сестрёнке...","драма, военный"
Самый Новый год!,"У Саши три проблемы: девушка, которая хочет свадьбу, на которую он никак не может решиться, ведь он всего-навсего ветеринарный фельдшер и чистит уши собакам, родители, ведь маме не нравится Оля, а папе не нравится его работа, потому что Саша чистит уши собакам, и третья - он не нравится Олиной маме, потому что... да, потому что он чистит уши собакам. 

В новогоднюю ночь все собираются у Саши дома, чтобы отпраздновать еще и его день рождения, ведь родился он 1 января. Оля приготовила ему подарок - он скоро станет папой! Чтобы хоть на какое-то время остаться наедине со своими мыслями, Саша прячется в туалете. Нажав на смыв, он оказывается... в квартире своих родителей за два часа до своего рождения. И на дворе 31 декабря 1992 года.","комедия, фантастика"
007: Координаты «Скайфолл»,"Преданность Бонда своей начальнице М оказывается под угрозой, когда всплывают неприятные тайны её прошлого. MI6 подвергается нападению, и агент 007 должен ликвидировать угрозу любой ценой.","боевик, триллер, приключения"
Скрытые фигуры,"Команда афроамериканок проводит для НАСА ряд математических вычислений, необходимых для запуска первой космической миссии.","драма, биография, история"
Астрал,"Джош и Рене переезжают с детьми в новый дом, но не успевают толком распаковать вещи, как начинаются странные события. Необъяснимо перемещаются предметы, в детской звучат странные звуки, но настоящий кошмар начинается, когда их десятилетний сын Далтон впадает в кому. Все усилия врачей помочь мальчику безуспешны. Несколько месяцев спустя его возвращают домой, и загадочные явления продолжаются. Вскоре выясняется, что Далтон в бессознательном состоянии связан с паранормальным миром.",ужасы
Люди Икс: Тёмный Феникс,"История Джин Грей, которая разворачивается в тот момент, когда героиня превращается в культового Тёмного Феникса. Во время опасной для жизни спасательной миссии в космосе девушка оказывается поражена таинственной космической силой, которая превращает её в одного из самых могущественных мутантов. В борьбе с этой всё более изменчивой мощью и со своими собственными демонами Джин выходит из-под контроля: раскалывает семью Людей Икс и угрожает уничтожить всю нашу планету.","фантастика, боевик, приключения"
Громкая связь,"Семеро друзей, собравшись в загородном доме, в шутку начинают игру — участники должны зачитывать вслух все приходящие им сообщения, а на звонки отвечать только по громкой связи. Они и представить себе не могли, какие удивительные открытия им предстоит сделать друг о друге.",комедия
Горько!,"Прогрессивные и талантливые Наташа и Рома мечтают о европейской свадьбе на берегу моря... но у Наташиного отчима заготовлен другой сценарий. Грубый чиновник городской администрации рассматривает торжество как трамплин для собственной карьеры и стремится устроить все «как надо». Молодых ждет незабываемый вечер в ресторане «Золотой» с полным набором занудных обрядов. Не в силах бороться, ребята решают провести свадьбу своей мечты в секрете от консервативных родственников. Но по нелепой случайности оба торжества сливаются воедино.",комедия
12 обезьян,"2035 год... Чудовищный, неизлечимый вирус уничтожил пять миллиардов человек, то есть 99% населения Земли. Оставшиеся в живых люди вынуждены обитать под землей.

Уголовник Джеймс Коул добровольно отправляется в опасное путешествие на машине времени. Он должен попасть в прошлое, чтобы помочь ученым найти источник возникновения этого ужасного вируса и раскрыть загадку таинственных «Двенадцати обезьян»...","фантастика, триллер, детектив"
Стиляги,"Это история Москвы начала пятидесятых, в которой компании молодых людей приходится бороться за право быть не такими как все, слушать другую музыку, по-другому одеваться и, конечно же, любить.","мюзикл, драма, мелодрама, комедия"
Форма воды,"1960-е годы. Немая девушка Элайза работает уборщицей в научной лаборатории. В стенах секретного учреждения идёт работа по изучению отловленного человека-амфибии, и методы у сотрудников самые жестокие. Элайза влюбляется в пленённое существо и помогает ему сбежать.","фантастика, драма"
Луна 2112,"Контракт Сэма подходит к концу: он провел три года на Луне, следя за автоматизированной станцией по добыче редкого газа. Три долгих года в полном одиночестве, если не считать говорящего робота ГЕРТИ, могут изменить любого. За две недели до возвращения на Землю Сэм встречает сменщика.","фантастика, драма"
Терминатор 3: Восстание машин,"Прошло десять лет с тех пор, как Джон Коннор помог предотвратить Судный День и спасти человечество от массового уничтожения. Теперь ему 25, Коннор не живет «как все» - у него нет дома, нет кредитных карт, нет сотового телефона и никакой работы.

Его существование нигде не зарегистрировано. Он не может быть прослежен системой Skynet - высокоразвитой сетью машин, которые когда-то попробовали убить его и развязать войну против человечества. Пока из теней будущего не появляется T-X - Терминатрикс, самый сложный киборг-убийца Skynet.

Посланная назад сквозь время, чтобы завершить работу, начатую её предшественником, T-1000, эта машина так же упорна, как прекрасен её человеческий облик. Теперь единственная надежда Коннору выжить - Терминатор, его таинственный прежний убийца. Вместе они должны одержать победу над новыми технологиями T-X и снова предотвратить Судный День...","фантастика, боевик"
Всё могу,"Злобные инопланетяне, собираясь уничтожить Землю, дают ей последний шанс - наделяют учителя-неудачника Нила Кларка способностью исполнять любые желания. Он бы мог положить конец войнам или воскресить величайшие умы всех времен. Вот только как заманчиво: стать президентом США, соблазнить неприступную красотку или заставить заговорить собственного пса. Спасет ли Нил Кларк Землю или устроит полный беспредел?","фантастика, комедия"
Знакомство с Факерами,"Дав разрешение санитару Грэгу Факеру на свадьбу с их дочерью, бывший ЦэРэУшник Джек Бернс и его жена отправляются в Майами к родителям жениха. У них в голове много вопросов. Что это за семейка такая - Факеры? И что это вообще за родители, которые назвали сына Гей (Гейлард) М. Факер?","мелодрама, комедия"
Одержимость,"Накануне важной деловой поездки молодой преуспевающий финансист Мэтью замечает в ресторане свою бывшую возлюбленную Лизу, которая таинственным образом исчезла два года назад и страстью к которой он все еще одержим. Забыв обо всем, Мэтью ступает на путь обмана и подозрений, чтобы выследить ее.
Пытаясь решить головоломку с помощью загадочных улик, он случайно знакомится с другой девушкой - ее тоже зовут Лиза и, возможно, ей известна тайна странного исчезновения. Мэтью не предполагает, что любовная одержимость уже сделала его жертвой виртуозной интриги…","триллер, драма, мелодрама, детектив"
Джонни Д.,"Америка, 1930-е годы. Дерзкие нападения сделали Джона Диллинджера героем всех угнетённых и главной мишенью для лучшего агента Мелвина Первиса и директора Бюро расследований Джона Эдгара Гувера. Никто не мог остановить банду Диллинджера. Ни одна тюрьма не могла его удержать. В то время как приключения лихой банды, к которой примкнули Малыш Нельсон и Элвин Карпис, вдохновляют обозлённых граждан, Гувер решает воспользоваться случаем и превратить Бюро расследований в главную правоохранительную организацию страны - ФБР.","боевик, драма, криминал, биография, история"
Как отделаться от парня за 10 дней,"Журналистка Энди Андерсон решает написать статью на тему: «Типичные ошибки, которыми женщины отталкивают от себя мужчин». Она планирует найти парня, завязать знакомство, а потом своим поведением добиться, чтобы тот её бросил. Редактор даёт ей на это 10 дней. На беду Энди ее выбор пал на молодого рекламного агента Бенджамина Бэрри, который сам как раз заключил со своим боссом пари, что он сможет влюбить в себя девушку за 10 дней. Может ли такое странное знакомство, основанное на авантюре и замешанное на лжи, привести к взаимности?","мелодрама, комедия"
Великая стена,"Великую стену воздвигли, чтобы оградить Поднебесную от любых угроз, но с таким врагом не сталкивались даже самые отважные ее защитники. Если вторжение не остановить – мир будет уничтожен.","фэнтези, боевик, триллер, приключения"
"Суини Тодд, демон-парикмахер с Флит-стрит","Когда-то в Лондоне жил молодой и наивный брадобрей Бенджамин Баркер. Он был женат на прелестной женщине по имени Люси, которая родила ему такую же прелестную дочку. На его беду, прелесть его жены также оценил сластолюбивый судья Терпин — и отправил Бенджамина Баркера на пожизненную каторгу, чтобы без помех овладеть его женой.

Пятнадцать лет спустя Баркер бежал с каторги, под именем Суини Тодда добрался до Лондона — и не нашел у себя дома ни жены, ни дочери. Миссис Ловетт, хозяйка маленькой пекарни этажом ниже, вначале не узнавшая его, рассказала ему его собственную историю. Тодд был уничтожен и поклялся страшно отомстить своим обидчикам — судье Терпину и приставу Бэмфорду, который помогал судье в его недостойных делах. По совету миссис Ловетт, не скрывающей своей привязанности к беглецу, он вернулся к своему прежнему ремеслу — снова стал брадобреем в надежде когда-нибудь заполучить к себе в заведение судью и прикончить его.","мюзикл, ужасы, триллер, драма"
Мотылёк,"Взломщик сейфов по прозвищу Мотылёк получает пожизненный срок и отправляется на каторгу за убийство, которого он не совершал. Когда вокруг враги, а надежда угасает с каждым днём заключения, лишь сила духа может помочь Мотыльку обрести свободу.","драма, криминал, приключения, биография"
Остров,"Линкольн Шесть-Эхо – житель на вид утопического, но охраняемого поселения середины XXI века. Как и все обитатели этого тщательно контролируемого пространства, Линкольн надеется оказаться среди тех, кого отправят на «Остров» – якобы последнее незагрязненное место на планете. Но очень скоро Линкольн обнаруживает, что абсолютно всё, что касается его существования – ложь.","фантастика, боевик, триллер"
Багровый пик,"Дурная слава преследует дом, что возвышается над городом.  С приходом зимы он утопает в кровавых снегах. Говорят, дело в глине, проступающей на поверхность. Но ни единая душа не рискует ступить на ледяной склон… кроме нее. Она влюблена в таинственного незнакомца, живущего в древних стенах со своей сестрой. Багровый пик пробудился и уже не уснет.","ужасы, триллер, драма, мелодрама, детектив"
Анна,"Москва, конец 1980-х. Скаут французского модельного агентства находит на Измайловском рынке подходящую ему по всем параметрам девушку Анну. Его не смущает, что потенциальная модель знает несколько языков, но торгует при этом матрёшками, и вот уже Анна летит в Париж и приступает к работе. Но её настоящая работа заключается не в позировании перед фотокамерами — хрупкая девушка работает на КГБ и должна убирать людей по приказу Москвы.","боевик, триллер"
Спасатели Малибу,"Группа пляжных спасателей работает на побережье Тихого океана. Они всегда находятся на своем посту и охраняют отдыхающих от несчастных случаев на воде. Главный герой, опытный спасатель Митч Бьюкеннон, и его молодой коллега Мэтт Броди случайно узнают, что их пляж находится под угрозой исчезновения. Хозяйка пафосного ночного клуба, по совместительству местный «наркобарон», пытается прибрать побережье к рукам. Дамочка скупает всю недвижимость, не гнушаясь запугиваниями и убийствами владельцев земельных участков.","боевик, комедия, криминал"
Бладшот,"Военный Рэй Гаррисон возвращается из очередной горячей точки к любимой красавице-жене. Супруги проводят отпуск в Европе, но счастье длится недолго — террористы, не сумев вытянуть из Рэя нужную им информацию, убивают жену, а затем и его самого. Но вскоре корпорация RST возвращает его к жизни. Армия нанороботов в крови превратила Рэя в бессмертного Бладшота, и теперь солдат наделен сверхсилой и способностью мгновенно самоисцеляться, вот только память оставляет желать лучшего. Но вскоре воспоминания о последних мгновениях жизни возвращаются, и Бладшот отправляется мстить за смерть жены.","фантастика, боевик"
Хитровка. Знак четырех,"Москва, 1902 год. Знаменитый режиссер Константин Станиславский в поисках вдохновения для постановки новой пьесы решает познакомиться с жизнью городского «дна». Он обращается за помощью к признанному знатоку московских трущоб Владимиру Гиляровскому. Вместе они отправляются на легендарную бандитскую Хитровку и оказываются втянуты в расследование убийства загадочного местного жителя — индийца-сикха с тёмным прошлым.","детектив, комедия"
